"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43","Then: the user should be able to click an element with opacity","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","324","Then: the input should be applied to the application","","Sat Aug 09 02:19:10 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Text Input: Given: the user is on a page where sending text via DOM events do not work: When: the user emulates real keyboard input","",""
"","25357","Then: the user should be able to act in accordance to the progress bar data","","Sat Aug 09 02:19:07 GMT 2025","passed","Sat Aug 09 02:19:32 GMT 2025","","UI Testing Playground: Scenario: Progress bar: Given: the user is on a page where there is a progress bar: When: the user triggers the progress bar to be active","",""
"","15988","Then: the page should wait for the logic to be processed","","Sat Aug 09 02:18:58 GMT 2025","passed","Sat Aug 09 02:19:14 GMT 2025","","UI Testing Playground: Scenario: Delay: Given: the user is on a page where JavaScript processing on client side happens: When: the user triggers client side logic","",""
"","374","Then: the user should not be logged in","","Sat Aug 09 02:19:09 GMT 2025","passed","Sat Aug 09 02:19:09 GMT 2025","","UI Testing Playground: Scenario: Login: Given: the user is not logged in: When: the user enters invalid credentials","",""
"","29","Then: the user should be able to click an element with visibility","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","84","Then: the XPATH selector strategy can be used to validate the inner text","","Sat Aug 09 02:18:59 GMT 2025","passed","Sat Aug 09 02:18:59 GMT 2025","","UI Testing Playground: Scenario: Inner Text: Given: the user is on a page where there is inner text: When: the user wants to validate the inner text of an element","",""
"","27","Then: the user should not be able to click an element that is offscreen","","Sat Aug 09 02:19:11 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","6565","Then: the user should wait for the disabled element to become enabled","","Sat Aug 09 02:18:59 GMT 2025","passed","Sat Aug 09 02:19:05 GMT 2025","","UI Testing Playground: Scenario: Disabled Input: Given: the user is on a page where inputs can be disabled: When: the user wants to interact with a disabled input","",""
"","169","Then: the user should be able to click rendered elements","","Sat Aug 09 02:19:10 GMT 2025","passed","Sat Aug 09 02:19:11 GMT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","293","Then: the user should be able to click the logout button to log off","","Sat Aug 09 02:19:09 GMT 2025","passed","Sat Aug 09 02:19:09 GMT 2025","","UI Testing Playground: Scenario: Login: Given: the user is logged in: When: the user wants to logout","",""
"","507","Then: the user should be able to validate the inner text by getting the text","","Sat Aug 09 02:18:58 GMT 2025","passed","Sat Aug 09 02:18:59 GMT 2025","","UI Testing Playground: Scenario: Inner Text: Given: the user is on a page where there is inner text: When: the user wants to validate the inner text of an element","",""
